RK,NAME,TEAM,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
1,Michael Penix Jr.,WASH,QB,363,555,65.4,4903,8.8,92,36,11,11,157.1
2,Bo Nix,ORE,QB,364,470,77.4,4508,9.6,84,45,3,5,188.3
3,Carson Beck,UGA,QB,302,417,72.4,3941,9.5,55,24,6,11,167.9
4,Seth Henigan,MEM,QB,318,476,66.8,3883,8.2,70,32,9,19,153.7
5,Jayden Daniels,LSU,QB,236,327,72.2,3812,11.7,86,40,4,22,208.0
6,Davis Brin,GASO,QB,362,552,65.6,3781,6.8,76,24,19,31,130.6
7,Joey Aguilar,APP,QB,293,460,63.7,3757,8.2,77,33,10,19,151.6
8,Cameron Ward,WSU,QB,323,485,66.6,3735,7.7,63,25,7,38,145.4
9,Dillon Gabriel,OU,QB,266,384,69.3,3660,9.5,63,30,6,17,172.0
10,Jordan McCloud,JMU,QB,281,412,68.2,3657,8.9,80,35,10,23,165.9
11,Caleb Williams,USC,QB,266,388,68.6,3633,9.4,76,30,5,33,170.1
12,Drake Maye,UNC,QB,269,425,63.3,3608,8.5,77,24,9,29,149.0
13,Gunnar Watson,TROY,QB,268,439,61.0,3569,8.1,64,27,6,24,146.9
14,Brayden Schager,HAW,QB,332,525,63.2,3542,6.7,65,26,14,39,130.9
15,Quinn Ewers,TEX,QB,272,394,69.0,3479,8.8,73,22,6,27,158.6
16,Alan Bowman,OKST,QB,304,501,60.7,3460,6.9,67,15,14,7,123.0
16,Brayden Fowler-Nicolosi,CSU,QB,292,470,62.1,3460,7.4,76,22,16,12,132.6
18,TJ Finley,TXST,QB,279,414,67.4,3439,8.3,89,24,8,29,152.4
19,Chandler Rogers,UNT,QB,262,421,62.2,3382,8.0,80,29,5,33,150.1
20,Taulia Tagovailoa,MD,QB,290,437,66.4,3377,7.7,64,25,11,25,145.1
21,Jaxson Dart,MISS,QB,233,358,65.1,3364,9.4,68,23,5,27,162.4
22,Austin Reed,WKU,QB,289,470,61.5,3340,7.1,75,31,11,7,138.3
23,Brady Cook,MIZ,QB,244,369,66.1,3317,9.0,77,21,6,26,157.2
24,Byrum Brown,USF,QB,276,426,64.8,3292,7.7,88,26,11,38,144.7
25,Shedeur Sanders,COLO,QB,298,430,69.3,3230,7.5,75,27,3,52,151.7
26,Jack Plummer,LOU,QB,256,395,64.8,3204,8.1,85,21,12,32,144.4
