RK,NAME,TEAM,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG,Year
1,Kyle McCord,SYR,QB,391.0,592.0,66.0,4779.0,8.1,67,34,12,27.0,148.8,2024
2,Cameron Ward,MIA,QB,305.0,454.0,67.2,4313.0,9.5,77,39,7,22.0,172.2,2024
3,Jaxson Dart,MISS,QB,276.0,398.0,69.3,4279.0,10.8,75,29,6,28.0,180.7,2024
4,Shedeur Sanders,COLO,QB,353.0,477.0,74.0,4134.0,8.7,69,37,10,42.0,168.2,2024
5,Garrett Nussmeier,LSU,QB,337.0,525.0,64.2,4052.0,7.7,76,29,12,16.0,142.7,2024
6,Will Howard,OSU,QB,309.0,423.0,73.1,4010.0,9.5,75,35,10,14.0,175.3,2024
7,Josh Hoover,TCU,QB,313.0,471.0,66.5,3949.0,8.4,84,27,11,16.0,151.1,2024
8,Dillon Gabriel,ORE,QB,326.0,447.0,72.9,3857.0,8.6,69,30,6,21.0,164.9,2024
9,Chandler Morris,UNT,QB,322.0,510.0,63.1,3774.0,7.4,96,31,12,12.0,140.6,2024
10,Cade Klubnik,CLEM,QB,308.0,486.0,63.4,3639.0,7.5,76,36,6,23.0,148.2,2024
11,Rocco Becht,ISU,QB,271.0,456.0,59.4,3505.0,7.7,75,25,9,15.0,138.1,2024
12,Seth Henigan,MEM,QB,309.0,477.0,64.8,3502.0,7.3,89,25,6,19.0,141.2,2024
13,Carson Beck,UGA,QB,290.0,448.0,64.7,3485.0,7.8,67,28,12,18.0,145.3,2024
14,Quinn Ewers,TEX,QB,293.0,445.0,65.8,3472.0,7.8,54,31,12,31.0,149.0,2024
15,Owen McCown,UTSA,QB,294.0,467.0,63.0,3424.0,7.3,69,25,10,27.0,137.9,2024
16,Behren Morton,TTU,QB,295.0,466.0,63.3,3335.0,7.2,70,27,8,23.0,139.1,2024
17,Drew Allar,PSU,QB,262.0,394.0,66.5,3327.0,8.4,59,24,8,19.0,153.5,2024
18,Kevin Jennings,SMU,QB,247.0,380.0,65.0,3245.0,8.5,87,23,11,14.0,150.9,2024
19,Jordan McCloud,TXST,QB,273.0,390.0,70.0,3227.0,8.3,70,30,13,17.0,158.2,2024
20,Tyler Shough,LOU,QB,244.0,389.0,62.7,3195.0,8.2,86,23,6,14.0,148.1,2024
21,Taylen Green,ARK,QB,230.0,381.0,60.4,3154.0,8.3,94,15,9,32.0,138.2,2024
22,John Mateer,WSU,QB,224.0,347.0,64.6,3139.0,9.0,59,29,7,31.0,164.1,2024
23,Caden Veltkamp,WKU,QB,258.0,389.0,66.3,3108.0,8.0,74,25,10,24.0,149.5,2024
24,Nicholas Vattiato,MTSU,QB,269.0,418.0,64.4,3092.0,7.4,71,16,10,29.0,134.3,2024
25,Sawyer Robertson,BAY,QB,229.0,368.0,62.2,3071.0,8.3,53,28,8,15.0,153.1,2024
26,Connor Bazelak,BGSU,QB,269.0,402.0,66.9,3044.0,7.6,66,18,5,26.0,142.8,2024
27,Kurtis Rourke,IU,QB,222.0,320.0,69.4,3042.0,9.5,84,29,5,20.0,176.0,2024
28,Maddux Madsen,BOIS,QB,247.0,396.0,62.4,3018.0,7.6,53,23,6,13.0,142.5,2024
29,Fernando Mendoza,CAL,QB,265.0,386.0,68.7,3004.0,7.8,66,16,6,41.0,144.6,2024
30,Joey Aguilar,APP,QB,218.0,390.0,55.9,3003.0,7.7,83,23,14,15.0,132.9,2024
31,Noah Fifita,ARIZ,QB,260.0,430.0,60.5,2958.0,6.9,78,18,12,28.0,126.5,2024
32,Jake Retzlaff,BYU,QB,213.0,368.0,57.9,2947.0,8.0,62,20,12,18.0,136.6,2024
33,Maalik Murphy,DUKE,QB,254.0,421.0,60.3,2933.0,7.0,86,26,12,12.0,133.5,2024
34,Brett Gabbert,M-OH,QB,217.0,379.0,57.3,2921.0,7.7,75,21,11,27.0,134.5,2024
35,Kadin Semonza,BALL,QB,275.0,426.0,64.6,2904.0,6.8,72,25,10,33.0,136.5,2024
36,Mikey Keene,FRES,QB,277.0,393.0,70.5,2892.0,7.4,75,18,11,25.0,141.8,2024
37,Sam Leavitt,ASU,QB,216.0,350.0,61.7,2885.0,8.2,68,24,6,19.0,150.2,2024
38,Billy Edwards Jr.,MD,QB,273.0,420.0,65.0,2881.0,6.9,75,15,9,17.0,130.1,2024
39,Riley Leonard,ND,QB,269.0,403.0,66.7,2861.0,7.1,54,21,8,20.0,139.6,2024
40,Jalen Milroe,ALA,QB,205.0,319.0,64.3,2844.0,8.9,84,16,11,23.0,148.8,2024
41,JC French IV,GASO,QB,269.0,410.0,65.6,2831.0,6.9,59,17,11,27.0,131.9,2024
42,Max Brosmer,MINN,QB,268.0,403.0,66.5,2828.0,7.0,44,18,6,26.0,137.2,2024
43,Dylan Raiola,NEB,QB,275.0,410.0,67.1,2819.0,6.9,59,13,11,27.0,129.9,2024
44,Brendan Sorsby,CIN,QB,249.0,389.0,64.0,2813.0,7.2,80,18,7,17.0,136.4,2024
45,Brayden Fowler-Nicolosi,CSU,QB,230.0,380.0,60.5,2796.0,7.4,85,14,9,9.0,129.8,2024
46,Tucker Gleason,TOL,QB,233.0,385.0,60.5,2793.0,7.3,78,24,8,14.0,137.9,2024
